opinion_h1n1_risk,doctor_recc_h1n1,health_worker,opinion_h1n1_vacc_effective,opinion_seas_risk,h1n1_knowledge,race,employment_occupation,health_insurance,opinion_seas_vacc_effective,rent_or_own,opinion_seas_sick_from_vacc
1.0,0.25,0.16,0.32,0.6,0.11,-0.03,-0.11,0.01,0.27,-0.0,0.16
0.25,1.0,0.13,0.18,0.21,0.12,-0.01,-0.07,0.06,0.13,-0.03,0.05
0.16,0.13,1.0,0.1,0.14,0.22,0.03,-0.35,0.06,0.07,-0.05,-0.02
0.32,0.18,0.1,1.0,0.31,0.14,0.04,-0.07,0.06,0.51,-0.04,-0.01
0.6,0.21,0.14,0.31,1.0,0.12,0.03,-0.09,0.04,0.4,-0.03,0.16
0.11,0.12,0.22,0.14,0.12,1.0,0.14,-0.14,0.16,0.11,-0.12,-0.1
-0.03,-0.01,0.03,0.04,0.03,0.14,1.0,-0.03,0.16,0.05,-0.21,-0.12
-0.11,-0.07,-0.35,-0.07,-0.09,-0.14,-0.03,1.0,-0.1,-0.05,0.03,0.03
0.01,0.06,0.06,0.06,0.04,0.16,0.16,-0.1,1.0,0.06,-0.22,-0.06
0.27,0.13,0.07,0.51,0.4,0.11,0.05,-0.05,0.06,1.0,-0.04,-0.02
-0.0,-0.03,-0.05,-0.04,-0.03,-0.12,-0.21,0.03,-0.22,-0.04,1.0,0.07
0.16,0.05,-0.02,-0.01,0.16,-0.1,-0.12,0.03,-0.06,-0.02,0.07,1.0
